2019-11-26 18:21:35 INFO  Client:60 - Client Client 1 started working
2019-11-26 18:21:35 INFO  Server:25 - Client registered
2019-11-26 18:21:35 INFO  Server:59 - Message sanded
2019-11-26 18:21:35 INFO  Server:59 - Message sanded
2019-11-26 18:21:37 INFO  Server:25 - Client registered
2019-11-26 18:21:41 INFO  Server:32 - Client unregistered
2019-11-26 18:21:45 INFO  Server:59 - Message sanded
2019-11-26 18:21:45 INFO  Server:59 - Message sanded
2019-11-26 18:21:55 INFO  Server:59 - Message sanded
2019-11-26 18:21:55 INFO  Server:59 - Message sanded
2019-11-26 18:22:05 INFO  Server:59 - Message sanded
2019-11-26 18:22:05 INFO  Server:59 - Message sanded
2019-11-26 18:22:15 INFO  Server:59 - Message sanded
2019-11-26 18:22:15 INFO  Server:59 - Message sanded
2019-11-26 18:22:17 INFO  Client:84 - Client Client 0 finished working
2019-11-26 18:22:17 INFO  Client:84 - Client Client 1 finished working
2019-11-26 18:22:17 INFO  Client:60 - Client Client 2 started working
2019-11-26 18:22:22 INFO  Server:52 - server.Server started working...
2019-11-26 18:22:23 INFO  Server:47 - Sender started
2019-11-26 18:22:31 INFO  Server:52 - server.Server started working...
2019-11-26 18:22:32 INFO  Server:47 - Sender started
2019-11-26 18:22:34 INFO  Client:60 - Client Client 0 started working
2019-11-26 18:22:37 INFO  Client:60 - Client Client 1 started working
2019-11-26 18:22:37 INFO  Server:25 - Client registered
2019-11-26 18:22:40 INFO  Client:60 - Client Client 1 started working
2019-11-26 18:22:40 INFO  Server:25 - Client registered
2019-11-26 18:22:42 INFO  Server:59 - Message sanded
2019-11-26 18:22:42 INFO  Server:59 - Message sanded
2019-11-26 18:22:42 INFO  Server:25 - Client registered
2019-11-26 18:22:49 INFO  Server:32 - Client unregistered
2019-11-26 18:22:52 INFO  Server:59 - Message sanded
2019-11-26 18:22:52 INFO  Server:59 - Message sanded
2019-11-26 18:22:58 INFO  Client:84 - Client Client 1 finished working
2019-11-26 18:23:14 INFO  Server:52 - server.Server started working...
2019-11-26 18:23:15 INFO  Server:47 - Sender started
2019-11-26 18:23:16 INFO  Client:60 - Client Client 2 started working
2019-11-26 18:23:26 INFO  Client:60 - Client Client 2 started working
2019-11-26 18:23:28 INFO  Server:25 - Client registered
2019-11-26 18:23:30 INFO  Server:32 - Client unregistered
2019-11-26 18:27:01 INFO  Server:52 - server.Server started working...
2019-11-26 18:27:02 INFO  Server:47 - Sender started
2019-11-26 18:27:04 INFO  Client:60 - Client Client 2 started working
2019-11-26 18:27:06 INFO  Client:60 - Client Client 1 started working
2019-11-26 18:27:06 INFO  Server:26 - Client registered /127.0.0.1:51452
2019-11-26 18:27:09 INFO  Client:60 - Client Client 0 started working
2019-11-26 18:27:09 INFO  Server:26 - Client registered /127.0.0.1:51490
2019-11-26 18:27:11 INFO  Server:26 - Client registered /127.0.0.1:51524
2019-11-26 18:27:12 INFO  Server:59 - Message sanded
2019-11-26 18:27:12 INFO  Server:59 - Message sanded
2019-11-26 18:27:19 INFO  Server:33 - Client unregistered /127.0.0.1:51524
2019-11-26 18:27:22 INFO  Server:59 - Message sanded
2019-11-26 18:27:22 INFO  Server:59 - Message sanded
2019-11-28 18:39:43 INFO  Server:55 - server.Server started working...
2019-11-28 18:39:44 INFO  Server:47 - Sender started
2019-11-28 18:39:45 INFO  Client:60 - Client Client 0 started working
2019-11-28 18:39:47 INFO  Client:60 - Client Client 2 started working
2019-11-28 18:39:48 INFO  Server:26 - Client registered /127.0.0.1:50258
2019-11-28 18:39:50 INFO  Client:60 - Client Client 1 started working
2019-11-28 18:39:50 INFO  Server:26 - Client registered /127.0.0.1:50294
2019-11-28 18:39:52 INFO  Server:26 - Client registered /127.0.0.1:50330
2019-11-28 18:39:54 INFO  Server:59 - Message sanded
